Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20002002","2000-2002","%","14","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20012003","2001-2003","%","12","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20022004","2002-2004","%","11","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20032005","2003-2005","%","12","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20042006","2004-2006","%","14","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20052007","2005-2007","%","15","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20062008","2006-2008","%","17","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20072009","2007-2009","%","19","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20082010","2008-2010","%","19","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20092011","2009-2011","%","19","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20102012","2010-2012","%","18","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20112013","2011-2013","%","18","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20122014","2012-2014","%","18","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20132015","2013-2015","%","19","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20142016","2014-2016","%","23","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20152017","2015-2017","%","27","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20162018","2016-2018","%","29","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20172019","2017-2019","%","27","F","FAO estimate",""
