Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2000","2000","1000 tonnes","46333","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2001","2001","1000 tonnes","43606","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2002","2002","1000 tonnes","48042","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2003","2003","1000 tonnes","52056","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2004","2004","1000 tonnes","53820","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2005","2005","1000 tonnes","47244","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2006","2006","1000 tonnes","44666","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2007","2007","1000 tonnes","54742","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2008","2008","1000 tonnes","63920","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2009","2009","1000 tonnes","50045","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2010","2010","1000 tonnes","49373","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2011","2011","1000 tonnes","55309","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2012","2012","1000 tonnes","58397","S","Standardized data"
"FBSH","Food Balances (-2013, old methodology and population)","165","Pakistan","5511","Production","2536","Sugar cane","2013","2013","1000 tonnes","63750","S","Standardized data"
