Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1961,1961,1000 tonnes,11640,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1962,1962,1000 tonnes,14357,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1963,1963,1000 tonnes,18438,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1964,1964,1000 tonnes,16139,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1965,1965,1000 tonnes,18667,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1966,1966,1000 tonnes,22309,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1967,1967,1000 tonnes,21982,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1968,1968,1000 tonnes,18659,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1969,1969,1000 tonnes,21971,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1970,1970,1000 tonnes,26370,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1971,1971,1000 tonnes,23167,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1972,1972,1000 tonnes,19963,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1973,1973,1000 tonnes,19947,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1974,1974,1000 tonnes,23911,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1975,1975,1000 tonnes,21242,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1976,1976,1000 tonnes,25547,S,Standardized data
FBSH,"Food Balances (-2013, old methodology and population)",165,Pakistan,5511,Production,2536,Sugar cane,1977,1977,1000 tonnes,29523,S,Standardized data
